course,lecturer,group,classroom
Zarządzanie zasobami ludzkimi,Inż. Piotr Szymański,NOY.KB2.GLS.8276.NTK,D265
Relacje z pracownikami,Dr hab. Piotr Nowakowski,XVM.TE8.QYI.1728.VAR,B384
Zamówienia publiczne,Dr hab. Maria Lewandowska,FCK.AU2.WAZ.6050.BTI,F370
Aplikacje mobilne dla biznesu,Mgr. Tomasz Dąbkowski,UDT.FC6.DKR.6724.SZY,B198
Zarządzanie strategiczne,Mgr. Jan Wiśniewski,SUL.IP4.RGW.7174.FMM,B379
Planowanie finansowe,Mgr. Piotr Lewandowski,RHD.BD4.NHI.0876.JTY,A129
Zintegrowana komunikacja marketingowa,Prof. Zofia Miodowska,YPI.UT8.WNQ.9042.LCR,H235
Zarządzanie cyklem życia produktu,Inż. Maria Wiśniewska,QKS.EA3.WMI.4507.BGM,D106
Zarządzanie marką,Inż. Jan Szymański,IAN.EB9.HAN.4884.THC,C328
Analiza sprawozdań finansowych,Prof. Jan Szymański,XLS.QK5.QSN.6714.RMY,E186
Biznes międzynarodowy,Mgr. Andrzej Kamiński,RYX.BE0.FMU.1872.NND,C320
Zarządzanie portfelem,Dr. Katarzyna Szymańska,RFV.CH2.OLX.7492.FPO,F244
Rachunek kosztów,Mgr. Piotr Dąbrowski,RYX.BE0.FMU.1872.NND,B226
Międzynarodowe zarządzanie finansami,Prof. Marek Wójcik,SWG.KD4.MEK.9582.KWP,B226
Różnorodność w miejscu pracy,Dr. Marek Zieliński,RYC.KE6.EHH.8944.IOK,D255
Ekonomia energetyczna,Inż. Maria Dąbrowski,WSX.ZB2.IDE.4895.TVM,D280
Zamówienia publiczne,Inż. Jan Nowak,NWW.AW6.BIF.8667.JPM,A396
Ekonomia polityczna,Prof. Jan Szymański,YSH.CI5.YEG.5108.TOL,C328
Wprowadzenie do nauki o danych,Mgr. Tomasz Kamiński,GKO.HO2.HMH.3308.RSM,B243
Relacje z mediami,Inż. Piotr Lewandowski,WPF.BA4.HUF.2508.ZCE,D255
Etyka w biznesie międzynarodowym,Prof. Marek Lewandowski,WMW.LV5.FDE.5907.GSM,F345
Analiza marketingowa,Prof. Zofia Miodowska,KSE.CS3.URP.5488.MSK,G389
Ekonomia behawioralna,Prof. Katarzyna Wójcik,SQP.TV7.URO.4305.QVL,E381
Zarządzanie talentami,Inż. Katarzyna Zielińska,DHN.YK3.TPY.3244.MKR,F345
Transformacja cyfrowa,Mgr. Piotr Dąbrowski,MIR.SW8.VIF.7653.UAG,E385
Efektywne przywództwo zespołowe,Mgr. Tomasz Szymański,EHK.JR4.LDZ.7467.NJL,A188
Blockchain i kryptowaluty,Dr. Piotr Dąbrowski,PMP.CC8.WON.1917.TGB,H236
Zarządzanie bezpieczeństwem IT,Mgr. Piotr Dąbrowski,HMP.ZE3.VKW.6047.OAW,C143
Komunikacja interpersonalna,Prof. Zofia Kowalska,CPL.ID9.XHF.5445.QMA,E325
Analiza papierów wartościowych,Mgr. Piotr Kamiński,GKO.HO2.HMH.3308.RSM,G240
Metodologia Six Sigma,Dr hab. Piotr Nowak,KOR.XX2.LTF.8475.WBU,B300
Podatki,Prof. Piotr Nowak,CBZ.YK9.FTS.6484.FYG,F139
Etyka w biznesie międzynarodowym,Mgr. Anna Zielińska,MBT.WM1.VBU.1712.FPS,B396
Zarządzanie transportem kolejowym,Mgr. Piotr Wójcik,VWM.OY2.PWX.4783.SBT,D265
Blockchain i kryptowaluty,Mgr. Tomasz Polak,UIE.CB5.ULG.4962.LZU,D385
Bankowość i usługi finansowe,Dr. Ewa Zielińska,IUX.GM7.ALK.4346.VED,B396
Zaawansowane badania konsumenckie,Dr. Marek Kamiński,ASA.ZH3.YPJ.4121.BXE,B120
Wprowadzenie do mikroekonomii,Mgr. Zofia Wiśniewska,PXN.NF6.JCD.2409.YTY,C379
Ekonomia środowiskowa,Dr. Katarzyna Szymańska,ZJD.US9.EGI.6635.HAH,F142
Komunikacja interpersonalna,Mgr. Zofia Kowalska,YPI.UT8.WNQ.9042.LCR,E353
Zaawansowane umiejętności komunikacyjne,Mgr. Maria Lewandowska,YPI.UT8.WNQ.9042.LCR,E183
Ekonomia behawioralna,Dr hab. Piotr Nowakowski,IUX.GM7.ALK.4346.VED,B379
Zielony łańcuch dostaw,Inż. Zofia Wójcik,QIL.FU4.CXU.0990.XKN,F345
Zarządzanie start-upami,Mgr. Jan Lewandowski,XGD.AR0.ANY.5116.CIL,B300
Copywriting i kreatywne pisanie,Dr hab. Andrzej Lewandowski,BNM.WD8.BSF.4070.UUF,E233
Użycie oprogramowania statystycznego,Mgr. Piotr Szymański,YHL.FN3.YQB.9858.ITR,F142
Innowacja w modelach biznesowych,Dr hab. Ewa Dąbrowska,OOG.CU9.LTX.5149.CYJ,D205
Relacje z mediami,Mgr. Tomasz Kamiński,XUT.PP4.WUP.5597.NPT,D205
Relacje z pracownikami,Mgr. Zofia Kowalska,SEA.EL4.UCP.5738.FCI,H211
Planowanie strategiczne marketingu,Dr. Jan Zieliński,FRA.FN4.QZU.8710.HOY,A335
Przedsiębiorczość,Dr. Marek Woźniak,PMK.AP7.GZV.9744.LIX,C328
Rozwój gospodarczy,Mgr. Andrzej Kamiński,QZK.BN3.APL.2257.JOO,A242
Planowanie mediów,Dr hab. Marek Zieliński,EJP.UH3.LEV.8022.YDH,E165
Relacje z pracownikami,Mgr. Piotr Kamiński,QKN.FU1.NVZ.7963.LGU,G240
Strategia wprowadzania nowego produktu,Dr. Zofia Lewandowska,NDM.YL9.LYB.3733.YGC,A396
Etyka w biznesie międzynarodowym,Mgr. Piotr Dąbrowski,QGF.VQ3.SEX.5164.CAI,E233
Zaawansowane umiejętności komunikacyjne,Inż. Katarzyna Zielińska,AKA.FV1.DKI.8876.KZC,H211
Zarządzanie wydarzeniami,Dr hab. Ewa Dąbrowska,RFV.CH2.OLX.7492.FPO,H236
Studia kulturowe,Inż. Andrzej Kowalski,WBC.DH0.CXH.7567.ATZ,C328
Doskonałość w obsłudze klienta,Dr. Marek Lewandowski,ZUQ.GU2.CGD.1182.WMT,F328
Finanse publiczne,Mgr. Maria Dąbrowska,QKX.MM9.YVF.9122.IPU,E165
Zaawansowane badania konsumenckie,Prof. Jan Szymański,UUL.ZS0.SES.3286.KDH,G104
Psychologia konsumenta,Inż. Andrzej Nowak,QMY.KY7.WGH.8609.ZNW,E318
Planowanie strategiczne marketingu,Mgr. Piotr Lewandowski,EZE.KI2.VAU.3851.CQF,D191
Strategie cenowe,Inż. Katarzyna Zielińska,KLG.PZ1.DRJ.9976.BJH,F328
Aplikacje mobilne dla biznesu,Mgr. Tomasz Polak,CBZ.YK9.FTS.6484.FYG,E353
Zastosowania uczenia maszynowego,Dr. Maria Lewandowska,EGA.TU9.VRT.2826.QYN,H203
Globalizacja i biznes,Prof. Zofia Zielińska,TJV.BQ7.GMX.2994.NOH,H112
Zarządzanie międzykulturowe,Dr hab. Zofia Szymanowska,UKX.FS1.GKW.1833.PNM,E233
Innowacja w modelach biznesowych,Inż. Andrzej Kowalski,IDW.TJ8.EQN.2797.ORO,B379
Planowanie finansowe,Inż. Zofia Wójcik,EWA.HP7.WCN.5830.EAO,B190
Strategia wprowadzania nowego produktu,Mgr. Tomasz Polak,BNT.IW7.OSL.3405.NVE,G155
Teoria gier,Dr hab. Tomasz Woźniak,TXE.TR0.JGS.5994.WSD,B209
Zarządzanie transportem kolejowym,Inż. Katarzyna Wiśniewska,RHU.GJ7.UZX.9301.XAD,F244
Statystyka I,Inż. Ewa Dąbrowska,GSG.YE2.ZAC.2685.EQS,D265
Technologia łańcucha dostaw,Dr. Marek Lewandowski,ETE.RG4.ZJW.8466.LMA,F244
Zarządzanie relacjami z klientem,Mgr. Piotr Lewandowski,RCL.ZP0.JZD.7000.IYU,F205
Ekonomia nieruchomości,Prof. Tomasz Dąbrowski,SZY.OR3.WYO.6406.MXZ,F149
Zaawansowana wizualizacja danych,Prof. Ewa Lewandowska,VEQ.VX8.OYN.3058.DWG,B198
Zarządzanie markami luksusowymi,Inż. Zofia Wójcik,EJP.UH3.LEV.8022.YDH,A335
Studia kulturowe,Prof. Piotr Kowalski,YSH.CI5.YEG.5108.TOL,E348
Zaawansowana analiza makroekonomiczna,Dr. Piotr Woźniak,NTV.KM5.ZHF.9246.EXE,A261
Zaawansowana wizualizacja danych,Prof. Tomasz Dąbrowski,KWG.EU5.SBA.8424.ENI,A136
Analiza marketingowa,Mgr. Jan Wiśniewski,UKX.FS1.GKW.1833.PNM,B226
Regulacje rynków finansowych,Dr. Katarzyna Szymańska,REY.EF1.LDG.3382.AKB,D106
Relacje przemysłowe,Dr. Katarzyna Zielińska,BNT.IW7.OSL.3405.NVE,B209
Budowanie marki online,Mgr. Zofia Kowalska,WPF.BA4.HUF.2508.ZCE,G389
Zarządzanie jakością,Dr hab. Piotr Nowakowski,TBY.BS8.FEW.2939.JYI,A358
Etyka w finansach,Prof. Zofia Wójcik,XUQ.LY4.VSA.1894.UIH,E381
Rynki instrumentów pochodnych,Dr hab. Tomasz Woźniak,TJM.NJ8.EFP.3457.XJN,G277
Zarządzanie innowacjami,Mgr. Anna Zielińska,RON.JD8.HHL.4129.SXR,G252
Statystyka I,Prof. Tomasz Dąbrowski,ASA.ZH3.YPJ.4121.BXE,H236
Odpowiedzialność społeczna przedsiębiorstw,Mgr. Maria Dąbrowska,CBZ.YK9.FTS.6484.FYG,F124
Systemy wynagrodzeń i benefitów,Dr. Maria Dąbrowska,GQA.DX2.YJU.0455.RKZ,C245
Porównawcze systemy ekonomiczne,Dr. Maria Zieliński,GQA.DX2.YJU.0455.RKZ,C143
Zarządzanie międzykulturowe,Prof. Andrzej Szymański,ONB.OI9.BTJ.4024.QSE,F106
Cyberbezpieczeństwo w biznesie,Inż. Katarzyna Wiśniewska,WZU.CW1.XTG.3642.WUL,A180
Systemy zarządzania bazami danych,Dr hab. Piotr Nowakowski,JQG.HO1.SYW.0202.VDD,F149
Zarządzanie reklamą,Mgr. Tomasz Polak,NOY.KB2.GLS.8276.NTK,B135
Strategie rekrutacyjne,Dr hab. Andrzej Lewandowski,KKC.JV9.IUT.2954.OAH,F370
Modelowanie predykcyjne,Inż. Andrzej Kowalski,RHD.BD4.NHI.0876.JTY,C328
Statystyka I,Mgr. Maria Lewandowska,LUN.TR2.DAP.9566.KDS,H235
Strategia wprowadzania nowego produktu,Inż. Zofia Woźniak,HTK.LE6.AAW.1341.XLJ,A135
Analiza biznesowa,Dr. Piotr Wiśniewski,FCK.AU2.WAZ.6050.BTI,B193
Innowacja w modelach biznesowych,Inż. Piotr Lewandowski,QSC.TR2.PPG.1283.PVD,D264
Zarządzanie talentami,Inż. Andrzej Nowak,QYC.YJ4.TUT.5534.TQY,G389
Public Relations,Dr hab. Ewa Dąbrowska,YRI.BF4.UAT.9531.JAD,D160
Zastosowania uczenia maszynowego,Dr hab. Piotr Nowakowski,DKO.TD1.EWS.3152.AOQ,D385
Zarządzanie talentami,Prof. Katarzyna Wójcik,EJP.UH3.LEV.8022.YDH,F106
Visual Basic dla aplikacji,Dr. Marek Kamiński,EJP.UH3.LEV.8022.YDH,D352
Zachowania organizacyjne,Inż. Katarzyna Zielińska,GQA.DX2.YJU.0455.RKZ,F244
Zachowania organizacyjne,Dr. Andrzej Wiśniewski,UDT.FC6.DKR.6724.SZY,E286
Blockchain i kryptowaluty,Dr hab. Zofia Szymanowska,UIK.YG2.MZB.0483.FSE,D264
Optymalizacja procesów biznesowych,Mgr. Tomasz Polak,SQP.BM5.PGL.5320.VYF,A135
Zarządzanie zasobami ludzkimi,Mgr. Tomasz Kamiński,KFC.GX1.OCI.3890.MTV,H112
Negocjacje i rozwiązywanie konfliktów,Dr. Anna Lewandowska,PTH.NO0.IXY.3726.FAA,H211
Ekonomia pracy,Dr. Katarzyna Szymańska,UWR.OR4.NYJ.8726.KYV,D106
Kapitał podwyższonego ryzyka,Dr. Piotr Dąbrowski,UMI.WM8.CRQ.7059.SDN,A326
Relacje z pracownikami,Inż. Maria Dąbrowski,KWG.EU5.SBA.8424.ENI,B379
Prawo gospodarcze,Prof. Zofia Miodowska,VEQ.VX8.OYN.3058.DWG,F208
Teoria makroekonomiczna,Inż. Katarzyna Dąbrowska,DLR.JR8.DZW.1254.CDR,F208
Efektywne przywództwo zespołowe,Dr hab. Piotr Nowakowski,RYX.BE0.FMU.1872.NND,D352
Zarządzanie jakością,Prof. Piotr Kowalski,REY.EF1.LDG.3382.AKB,F124
Zintegrowana komunikacja marketingowa,Prof. Tomasz Dąbrowski,HKZ.GL3.BJB.4801.KBY,A188
Prezentacje i wystąpienia publiczne,Dr hab. Piotr Nowakowski,SUL.IP4.RGW.7174.FMM,C379
Optymalizacja aplikacji mobilnych,Dr. Marek Kamiński,IDW.TJ8.EQN.2797.ORO,H134
Zaawansowane techniki Excela,Mgr. Anna Lewandowska,GQA.DX2.YJU.0455.RKZ,F389
Ekonomia behawioralna,Dr. Zofia Woźniakowska,YDD.CP0.OJM.7964.RBU,E173
Handel międzynarodowy,Dr. Anna Lewandowska,KGD.BI4.TOU.2717.LEW,D333
Zaawansowane finanse przedsiębiorstw,Mgr. Jan Lewandowski,GUJ.XX5.AAH.6247.ETG,A129
Sieci komputerowe,Prof. Andrzej Szymański,UIE.CB5.ULG.4962.LZU,G364
Teoria makroekonomiczna,Dr. Marek Lewandowski,RHU.GJ7.UZX.9301.XAD,B243
Zarządzanie start-upami,Inż. Marek Szymański,NDM.CD3.UAP.5426.RMJ,B190
Handel i finanse,Inż. Jan Szymański,NRZ.DO2.NLS.1664.FDN,B190
Finanse przedsiębiorstw,Mgr. Marek Wójcik,REY.EF1.LDG.3382.AKB,C379
Tworzenie treści cyfrowych,Prof. Marek Lewandowski,SBW.SS1.DHE.0691.GYW,H203
Zarządzanie zasobami ludzkimi,Dr. Zofia Woźniakowska,QIL.FU4.CXU.0990.XKN,E173
Regulacje importowe i eksportowe,Mgr. Jan Wiśniewski,EDB.RH5.MAR.3310.IIM,G210
Kanały dystrybucji,Inż. Katarzyna Wiśniewska,ASA.ZH3.YPJ.4121.BXE,F345
Etyka w finansach,Mgr. Anna Zielińska,WCZ.ZI6.EIL.6927.ANQ,H361
Zaawansowane umiejętności komunikacyjne,Dr hab. Ewa Zielińska,EZE.KI2.VAU.3851.CQF,A242
Zarządzanie wydarzeniami,Inż. Anna Kowalska,VVK.PE9.VAU.7412.MSK,H186
Efektywne przywództwo zespołowe,Mgr. Marek Zieliński,EPJ.NN9.ETJ.0333.BAJ,H327
Inteligentna logistyka,Dr. Piotr Dąbrowski,IPF.ES4.EHB.4201.SBL,D205
Polityka ekonomiczna,Dr hab. Tomasz Woźniak,UKX.FS1.GKW.1833.PNM,B243
Zarządzanie wydajnością,Inż. Anna Kowalska,RYX.BE0.FMU.1872.NND,C245
Zarządzanie sprzedażą,Mgr. Piotr Wójcik,CPL.ID9.XHF.5445.QMA,B190
Metody ilościowe w biznesie,Inż. Piotr Lewandowski,LUN.TR2.DAP.9566.KDS,G277
Zaawansowana strategia marketingowa,Dr. Piotr Wiśniewski,NDM.YL9.LYB.3733.YGC,E211
Przemysły kreatywne,Inż. Andrzej Kowalski,LUN.TR2.DAP.9566.KDS,F345
Bankowość i usługi finansowe,Mgr. Piotr Kamień,YMH.LK9.BNM.4167.MHF,B300
Regulacje rynków finansowych,Dr. Zofia Lewandowska,XGD.AR0.ANY.5116.CIL,B198
Cyberbezpieczeństwo w biznesie,Prof. Piotr Kowalski,LMG.DA0.DJG.7897.GPB,E381
Marketing międzynarodowy,Dr hab. Andrzej Lewandowski,FZG.ZU8.QCV.7696.WAK,G389
Komunikacja interpersonalna,Inż. Jan Nowak,EGA.TU9.VRT.2826.QYN,F149
Sieci komputerowe,Dr. Maria Zieliński,RHD.BD4.NHI.0876.JTY,A129
Zarządzanie ryzykiem,Dr. Anna Dąbrowska,OFP.WJ0.LRJ.9559.RJH,D106
Zarządzanie relacjami z klientem,Prof. Marek Lewandowski,EWA.HP7.WCN.5830.EAO,F328
Aplikacje mobilne dla biznesu,Dr. Katarzyna Szyszka,QZK.BN3.APL.2257.JOO,E354
Prezentacje i wystąpienia publiczne,Dr. Zofia Lewandowska,AXZ.MB6.PWL.5112.TTC,C332
Zarządzanie relacjami z klientem,Dr hab. Piotr Nowak,SUB.TT7.GRJ.1897.VEF,A261
Transformacja cyfrowa,Dr hab. Katarzyna Kamiński,WXD.JE6.FNR.6501.HUF,E348
Strategie rekrutacyjne,Mgr. Anna Zielińska,KFC.GX1.OCI.3890.MTV,G104
Analiza ruchu w sieci,Prof. Tomasz Wójcik,QKX.MM9.YVF.9122.IPU,E211
Metodologia Six Sigma,Inż. Piotr Lewandowski,ZUQ.GU2.CGD.1182.WMT,C245
Tworzenie stron internetowych,Dr. Katarzyna Szyszka,KKC.JV9.IUT.2954.OAH,F142
Blockchain i kryptowaluty,Mgr. Marek Zieliński,APJ.FY5.UFT.6300.ONQ,H361
Zastosowania uczenia maszynowego,Mgr. Tomasz Szymański,VQX.QB4.YFR.4773.SJP,H134
Zaawansowane badania konsumenckie,Mgr. Jan Wiśniewski,UBA.MC9.JQI.9582.QRF,F124
Relacje przemysłowe,Inż. Katarzyna Wiśniewska,IYM.AU1.QEN.8173.PIR,C328
Zarządzanie jakością,Inż. Katarzyna Zielińska,JQG.HO1.SYW.0202.VDD,F229
Zarządzanie relacjami z klientem,Mgr. Piotr Lewandowski,UIK.YG2.MZB.0483.FSE,A358
Analiza HR,Prof. Zofia Wójcik,JSI.BX2.UAJ.4340.SGP,E233
Podstawy zarządzania polem namiotowym,Inż. Jan Szymański,JKN.PY2.ZVG.0111.BAP,H211
Aplikacje mobilne dla biznesu,Mgr. Maria Kamińska,UBA.MC9.JQI.9582.QRF,B379
Visual Basic dla aplikacji,Mgr. Zofia Wiśniewska,CBZ.YK9.FTS.6484.FYG,D352
Zaawansowana strategia marketingowa,Inż. Piotr Szymański,KFC.GX1.OCI.3890.MTV,G155
Użycie oprogramowania statystycznego,Dr. Marek Kamiński,SBW.SS1.DHE.0691.GYW,A129
Design Thinking,Dr. Marek Kamiński,TML.NS4.BCX.5709.BLF,D264
Logistyka portowa i morska,Mgr. Jan Szymański,IFN.BI7.TAV.5742.WQF,E325
Zaawansowane praktyki HR,Mgr. Zofia Wiśniewska,UZL.LB0.AQE.7323.UPI,B379
Relacje z mediami,Prof. Andrzej Szymański,LLO.ZY4.WVH.2797.XDC,G277
Zarządzanie jakością,Dr. Maria Zieliński,UEW.BV1.YXK.3683.TGY,D264
Rachunek kosztów,Prof. Maria Woźniak,CBZ.YK9.FTS.6484.FYG,F205
Zarządzanie polem namiotowym,Dr. Maria Lewandowska,EWE.GX2.ODV.7316.WMH,F345
Zarządzanie reklamą,Dr hab. Ewa Zielińska,NDM.CD3.UAP.5426.RMJ,C143
Teoria gier,Dr hab. Anna Wiśniewska,RYX.BE0.FMU.1872.NND,D106
Marketing międzynarodowy,Dr. Jan Zieliński,NWW.AW6.BIF.8667.JPM,F205
Zarządzanie zaopatrzeniem,Dr. Piotr Wiśniewski,EKT.LI5.HQV.1107.OVS,A188
Psychologia konsumenta,Inż. Zofia Wójcik,KTW.VX2.MBA.2160.TPC,E354
Analiza szeregów czasowych,Dr. Marek Lewandowski,IJW.BB3.HET.3202.BQI,E385
Metodologia Six Sigma,Mgr. Maria Kamińska,KOR.XX2.LTF.8475.WBU,F139
Techniki negocjacyjne,Mgr. Maria Lewandowska,ZWX.OH6.XXJ.2173.BGM,E173
Biznes międzynarodowy,Mgr. Andrzej Kamiński,RON.JD8.HHL.4129.SXR,B190
Copywriting i kreatywne pisanie,Prof. Marek Wójcik,BLB.OL6.FEJ.3647.EAL,D106
Ekonomia nieruchomości,Dr. Anna Lewandowska,XLS.QK5.QSN.6714.RMY,B394
Zamówienia publiczne,Mgr. Andrzej Kamiński,DKO.TD1.EWS.3152.AOQ,B394
Ekonomia przemysłowa,Dr. Maria Dąbrowska,UIE.CB5.ULG.4962.LZU,F208
Raportowanie zrównoważonego rozwoju,Mgr. Maria Lewandowska,ZWX.OH6.XXJ.2173.BGM,F142
Strategie rekrutacyjne,Mgr. Tomasz Kamiński,TML.NS4.BCX.5709.BLF,H211
Sztuczna inteligencja w biznesie,Inż. Zofia Woźniak,WZU.CW1.XTG.3642.WUL,E186
Technologie finansowe (FinTech),Mgr. Jan Wiśniewski,TUX.QM4.RBR.3097.WGK,D255
Techniki negocjacyjne,Dr. Andrzej Wiśniewski,JIC.UT3.KQX.0426.JOR,C328
Środowisko prawne biznesu,Prof. Tomasz Dąbrowski,GUJ.XX5.AAH.6247.ETG,E354
Zarządzanie projektami,Dr. Marek Dąbrowski,BNT.IW7.OSL.3405.NVE,F149
Rachunkowość zarządcza,Dr. Piotr Woźniak,NWW.AW6.BIF.8667.JPM,E348
Negocjacje i rozwiązywanie konfliktów,Inż. Andrzej Nowak,YQY.LN5.OLS.9958.FXB,A208
Badania rynku,Dr. Marek Lewandowski,BIH.UW2.GQO.7951.ULE,D265
Ekonomia behawioralna,Inż. Jan Szymański,EZE.KI2.VAU.3851.CQF,F149
Przywództwo,Prof. Andrzej Szymański,DZE.CI4.XLZ.8254.SJU,B135
Rachunkowość finansowa,Prof. Katarzyna Zielińska,EDK.VE5.MBM.5514.LJK,D255
Finanse publiczne,Mgr. Piotr Lewandowski,GQA.DX2.YJU.0455.RKZ,H235
Teoria makroekonomiczna,Prof. Zofia Zielińska,WSX.ZB2.IDE.4895.TVM,F328
Zaawansowane techniki Excela,Mgr. Tomasz Kamiński,GQA.DX2.YJU.0455.RKZ,G252
Rachunek kosztów,Dr. Marek Lewandowski,EWA.HP7.WCN.5830.EAO,H361
Technologie finansowe (FinTech),Prof. Tomasz Wójcik,APJ.FY5.UFT.6300.ONQ,B120
Biznes międzynarodowy,Dr hab. Anna Wiśniewska,REY.EF1.LDG.3382.AKB,D271
Analiza marketingowa,Dr. Andrzej Wiśniewski,CYV.DC9.AFR.6362.CYX,B384
Metodologia Six Sigma,Dr. Maria Lewandowska,PLH.LQ3.MTC.3521.PGO,D191
Zastosowania uczenia maszynowego,Dr hab. Anna Wiśniewska,FRA.FN4.QZU.8710.HOY,C320
Blockchain i kryptowaluty,Inż. Tomasz Kowalski,IFM.NY9.YNX.6019.RXM,D160
Zarządzanie wydarzeniami,Inż. Katarzyna Wiśniewska,REY.EF1.LDG.3382.AKB,A396
Zarządzanie detaliczne,Prof. Jan Szymański,CYV.DC9.AFR.6362.CYX,H327
Transformacja cyfrowa,Inż. Katarzyna Dąbrowska,EJC.LZ3.AXY.2836.HED,A129
Strategie rekrutacyjne,Prof. Zofia Wójcik,SZY.OR3.WYO.6406.MXZ,D191
Operacje magazynowe,Dr. Jan Zieliński,KGD.BI4.TOU.2717.LEW,C332
Zarządzanie reklamą,Inż. Zofia Dąbrowska,IAN.EB9.HAN.4884.THC,E325
Analiza dużych zbiorów danych,Dr hab. Piotr Nowak,QKN.FU1.NVZ.7963.LGU,E233
Tworzenie stron internetowych,Mgr. Maria Kamińska,QGF.VQ3.SEX.5164.CAI,D265
Rozwój produktu,Inż. Maria Wiśniewska,YSH.CI5.YEG.5108.TOL,E353
Modelowanie predykcyjne,Mgr. Anna Zielińska,BNT.IW7.OSL.3405.NVE,F208
Wprowadzenie do nauki o danych,Dr. Maria Zieliński,FCK.AU2.WAZ.6050.BTI,G364
Podstawy zarządzania,Dr. Anna Zielińska,ZWX.OH6.XXJ.2173.BGM,D255
Strategia wprowadzania nowego produktu,Prof. Zofia Miodowska,NRZ.DO2.NLS.1664.FDN,B165
Prezentacje i wystąpienia publiczne,Dr hab. Anna Wiśniewska,FUB.SC2.STJ.5039.YMI,H112
Prawo gospodarcze,Dr hab. Maria Lewandowska,EYU.DT6.TBC.3104.SJC,G311
Etyczne hackowanie dla biznesu,Prof. Maria Wójcik,EDK.VE5.MBM.5514.LJK,F389
Finanse przedsiębiorstw,Dr. Anna Dąbrowska,YRI.BF4.UAT.9531.JAD,E282
Prezentacje i wystąpienia publiczne,Dr hab. Zofia Szymanowska,DLR.JR8.DZW.1254.CDR,G311
Finanse publiczne,Inż. Katarzyna Zielińska,EJP.UH3.LEV.8022.YDH,F345
Zarządzanie ryzykiem,Mgr. Jan Wiśniewski,FRN.RT0.YRW.7844.INO,A396
Badania operacyjne,Inż. Katarzyna Wiśniewska,ZFT.RD7.FTV.1813.RKV,H251
Optymalizacja procesów biznesowych,Dr. Marek Lewandowski,IPF.ES4.EHB.4201.SBL,D271
Etyka biznesu,Prof. Anna Nowak,OFE.KR6.JQI.4517.RMA,E348
